               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.038263,            0.057653,          0.00054281,             0.93189,             0.89235,             0.94027,              0.6065,            0.035586,            0.057325,           0.0011642,            0.003532,            0.003532,            0.003532
                 100,            0.038201,            0.057547,          0.00052503,             0.93255,             0.89133,             0.94048,             0.60661,            0.035589,            0.057349,           0.0011464,            0.003466,            0.003466,            0.003466
                 101,            0.038201,            0.057865,          0.00050922,             0.93377,             0.88791,             0.94066,              0.6061,             0.03559,            0.057332,           0.0011537,              0.0034,              0.0034,              0.0034
                 102,            0.037946,            0.058323,          0.00047501,             0.93356,             0.88608,             0.93949,             0.60728,            0.035595,            0.057322,           0.0011437,            0.003334,            0.003334,            0.003334
                 103,            0.038009,            0.058142,          0.00045605,             0.93022,              0.8918,              0.9397,             0.60653,            0.035602,            0.057348,           0.0011443,            0.003268,            0.003268,            0.003268
                 104,            0.038052,            0.056751,          0.00051674,             0.93468,             0.88864,             0.94038,             0.60586,            0.035594,             0.05735,           0.0011484,            0.003202,            0.003202,            0.003202
                 105,            0.038049,            0.057538,          0.00046234,             0.93283,             0.89067,             0.93882,             0.60552,            0.035593,            0.057368,            0.001146,            0.003136,            0.003136,            0.003136
                 106,            0.037842,            0.057997,            0.000454,             0.93473,             0.88941,             0.93914,             0.60599,            0.035589,            0.057405,           0.0011471,             0.00307,             0.00307,             0.00307
                 107,            0.037757,            0.057263,          0.00045191,             0.93434,             0.88943,             0.93923,             0.60661,            0.035589,             0.05736,           0.0011627,            0.003004,            0.003004,            0.003004
                 108,            0.037979,            0.057146,           0.0004435,             0.93595,             0.88922,                0.94,             0.60721,            0.035576,            0.057327,           0.0011616,            0.002938,            0.002938,            0.002938
                 109,            0.037844,            0.057439,          0.00049793,             0.93219,             0.89211,             0.93989,             0.60733,            0.035575,            0.057341,           0.0011803,            0.002872,            0.002872,            0.002872
                 110,            0.037703,            0.057872,          0.00045595,             0.93499,             0.89143,             0.93972,             0.60733,            0.035545,            0.057346,           0.0011938,            0.002806,            0.002806,            0.002806
                 111,             0.03757,            0.055938,          0.00048138,             0.93222,             0.89312,             0.93944,             0.60709,             0.03554,             0.05734,           0.0012096,             0.00274,             0.00274,             0.00274
                 112,            0.037811,            0.058183,          0.00043469,             0.93045,             0.89434,             0.93944,             0.60787,            0.035532,            0.057321,           0.0012138,            0.002674,            0.002674,            0.002674
                 113,            0.037787,            0.057288,          0.00046722,             0.93368,             0.89119,             0.93986,             0.60893,            0.035533,            0.057311,           0.0012224,            0.002608,            0.002608,            0.002608
                 114,            0.037712,            0.056162,          0.00046706,             0.93402,             0.89215,             0.93997,             0.60958,            0.035525,            0.057302,           0.0012238,            0.002542,            0.002542,            0.002542
                 115,            0.037551,            0.057295,          0.00042972,             0.93552,              0.8923,             0.94019,             0.60943,            0.035527,            0.057287,           0.0012244,            0.002476,            0.002476,            0.002476
                 116,            0.037796,            0.057372,          0.00044074,             0.93551,             0.89416,             0.94014,             0.60985,            0.035527,            0.057283,           0.0012073,             0.00241,             0.00241,             0.00241
                 117,             0.03753,            0.056892,          0.00042568,             0.93066,             0.89593,             0.93995,             0.60963,            0.035524,            0.057279,           0.0011931,            0.002344,            0.002344,            0.002344
                 118,            0.037259,            0.056114,          0.00041603,             0.93462,              0.8933,             0.94011,             0.60955,            0.035531,            0.057284,           0.0011949,            0.002278,            0.002278,            0.002278
                 119,            0.037514,            0.057345,          0.00038045,               0.931,             0.89335,             0.94026,             0.61056,            0.035537,            0.057292,           0.0011984,            0.002212,            0.002212,            0.002212
